name,region
Australia,Oceania
Christmas Island,Oceania
Cocos (Keeling) Islands,Oceania
Heard Island and McDonald Islands,Oceania
New Zealand,Oceania
Norfolk Island,Oceania
Kazakhstan,Asia
Kyrgyzstan,Asia
Tajikistan,Asia
Turkmenistan,Asia
Uzbekistan,Asia
China,Asia
Hong Kong,Asia
Japan,Asia
Korea (Democratic People's Republic of),Asia
"Korea, Republic of",Asia
Macao,Asia
Mongolia,Asia
"Taiwan, Province of China",Asia
Belarus,Europe
Bulgaria,Europe
Czechia,Europe
Hungary,Europe
"Moldova, Republic of",Europe
Poland,Europe
Romania,Europe
Russian Federation,Europe
Slovakia,Europe
Ukraine,Europe
Bolivia (Plurinational State of),South and Central America and the Caribbean
"Bonaire, Sint Eustatius and Saba",South and Central America and the Caribbean
Bouvet Island,South and Central America and the Caribbean
Brazil,South and Central America and the Caribbean
Cayman Islands,South and Central America and the Caribbean
Chile,South and Central America and the Caribbean
Colombia,South and Central America and the Caribbean
Costa Rica,South and Central America and the Caribbean
Cuba,South and Central America and the Caribbean
Curaçao,South and Central America and the Caribbean
Dominica,South and Central America and the Caribbean
Dominican Republic,South and Central America and the Caribbean
Ecuador,South and Central America and the Caribbean
El Salvador,South and Central America and the Caribbean
Falkland Islands (Malvinas),South and Central America and the Caribbean
French Guiana,South and Central America and the Caribbean
Grenada,South and Central America and the Caribbean
Guadeloupe,South and Central America and the Caribbean
Guatemala,South and Central America and the Caribbean
Guyana,South and Central America and the Caribbean
Haiti,South and Central America and the Caribbean
Honduras,South and Central America and the Caribbean
Jamaica,South and Central America and the Caribbean
Martinique,South and Central America and the Caribbean
Mexico,South and Central America and the Caribbean
Montserrat,South and Central America and the Caribbean
Nicaragua,South and Central America and the Caribbean
Panama,South and Central America and the Caribbean
Paraguay,South and Central America and the Caribbean
Peru,South and Central America and the Caribbean
Puerto Rico,South and Central America and the Caribbean
Saint Barthélemy,South and Central America and the Caribbean
Saint Kitts and Nevis,South and Central America and the Caribbean
Saint Lucia,South and Central America and the Caribbean
Saint Martin (French part),South and Central America and the Caribbean
Saint Vincent and the Grenadines,South and Central America and the Caribbean
Sint Maarten (Dutch part),South and Central America and the Caribbean
South Georgia and the South Sandwich Islands,South and Central America and the Caribbean
Suriname,South and Central America and the Caribbean
Trinidad and Tobago,South and Central America and the Caribbean
Turks and Caicos Islands,South and Central America and the Caribbean
Uruguay,South and Central America and the Caribbean
Venezuela (Bolivarian Republic of),South and Central America and the Caribbean
Virgin Islands (British),South and Central America and the Caribbean
Virgin Islands (U.S.),South and Central America and the Caribbean
Fiji,Oceania
New Caledonia,Oceania
Papua New Guinea,Oceania
Solomon Islands,Oceania
Vanuatu,Oceania
Guam,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia (Federated States of),Oceania
Nauru,Oceania
Northern Mariana Islands,Oceania
Palau,Oceania
United States Minor Outlying Islands,Oceania
Algeria,Africa
Egypt,Africa
Libya,Africa
Morocco,Africa
Sudan,Africa
Tunisia,Africa
Western Sahara,Africa
Bermuda,Northern America
Canada,Northern America
Greenland,Northern America
Saint Pierre and Miquelon,Northern America
United States of America,Northern America
Åland Islands,Europe
Denmark,Europe
Estonia,Europe
Faroe Islands,Europe
Finland,Europe
Guernsey,Europe
Iceland,Europe
Ireland,Europe
Isle of Man,Europe
Jersey,Europe
Latvia,Europe
Lithuania,Europe
Norway,Europe
Svalbard and Jan Mayen,Europe
Sweden,Europe
United Kingdom of Great Britain and Northern Ireland,Europe
American Samoa,Oceania
Cook Islands,Oceania
French Polynesia,Oceania
Niue,Oceania
Pitcairn,Oceania
Samoa,Oceania
Tokelau,Oceania
Tonga,Oceania
Tuvalu,Oceania
Wallis and Futuna,Oceania
Brunei Darussalam,Asia
Cambodia,Asia
Indonesia,Asia
Lao People's Democratic Republic,Asia
Malaysia,Asia
Myanmar,Asia
Philippines,Asia
Singapore,Asia
Thailand,Asia
Timor-Leste,Asia
Viet Nam,Asia
Afghanistan,Asia
Bangladesh,Asia
Bhutan,Asia
India,Asia
Iran (Islamic Republic of),Middle East
Maldives,Asia
Nepal,Asia
Pakistan,Asia
Sri Lanka,Asia
Albania,Europe
Andorra,Europe
Bosnia and Herzegovina,Europe
Croatia,Europe
Gibraltar,Europe
Greece,Europe
Holy See,Europe
Italy,Europe
Malta,Europe
Montenegro,Europe
North Macedonia,Europe
Portugal,Europe
San Marino,Europe
Serbia,Europe
Slovenia,Europe
Spain,Europe
Angola,Africa
Benin,Africa
Botswana,Africa
British Indian Ocean Territory,Africa
Burkina Faso,Africa
Burundi,Africa
Cabo Verde,Africa
Cameroon,Africa
Central African Republic,Africa
Chad,Africa
Comoros,Africa
Congo,Africa
"Congo, Democratic Republic of the",Africa
Côte d'Ivoire,Africa
Djibouti,Africa
Equatorial Guinea,Africa
Eritrea,Africa
Eswatini,Africa
Ethiopia,Africa
French Southern Territories,Africa
Gabon,Africa
Gambia,Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Kenya,Africa
Lesotho,Africa
Liberia,Africa
Madagascar,Africa
Malawi,Africa
Mali,Africa
Mauritania,Africa
Mauritius,Africa
Mayotte,Africa
Mozambique,Africa
Namibia,Africa
Niger,Africa
Nigeria,Africa
Réunion,Africa
Rwanda,Africa
"Saint Helena, Ascension and Tristan da Cunha",Africa
Sao Tome and Principe,Africa
Senegal,Africa
Seychelles,Africa
Sierra Leone,Africa
Somalia,Africa
South Africa,Africa
South Sudan,Africa
"Tanzania, United Republic of",Africa
Togo,Africa
Uganda,Africa
Zambia,Africa
Zimbabwe,Africa
Armenia,Asia
Azerbaijan,Asia
Bahrain,Middle East
Cyprus,Asia
Georgia,Asia
Iraq,Middle East
Israel,Middle East
Jordan,Middle East
Kuwait,Middle East
Lebanon,Middle East
Oman,Middle East
"Palestine, State of",Middle East
Qatar,Middle East
Saudi Arabia,Middle East
Syrian Arab Republic,Middle East
Turkey,Asia
United Arab Emirates,Middle East
Yemen,Middle East
Austria,Europe
Belgium,Europe
France,Europe
Germany,Europe
Liechtenstein,Europe
Luxembourg,Europe
Monaco,Europe
Netherlands,Europe
Switzerland,Europe
Anguilla,South and Central America and the Caribbean
Antigua and Barbuda,South and Central America and the Caribbean
Argentina,South and Central America and the Caribbean
Aruba,South and Central America and the Caribbean
Bahamas,South and Central America and the Caribbean
Barbados,South and Central America and the Caribbean
Belize,South and Central America and the Caribbean
Antarctica,
United States,Northern America
United Kingdom,Europe
Czech Republic,Europe
Taiwan,Asia
Iran,Middle East
"Venezuela, Bolivarian Republic of...",South and Central America and the Caribbean
Hong Kong (S.A.R.),Asia
Bolivia,South and Central America and the Caribbean
Republic of Korea,Asia
South Korea,Asia
The former Yugoslav Republic of Macedonia,Europe
United Republic of Tanzania,Africa
Republic of Moldova,Europe
Kosovo,Europe
Democratic Republic of the Congo,Africa
"Congo, Republic of the...",Africa
Swaziland,Africa
Libyan Arab Jamahiriya,Africa
Cape Verde,Africa
